setting,label
0,0-0-0
1,0-0-1
2,0-0-2
3,0-0-3
4,0-1-0
5,0-1-1
6,0-1-2
7,0-1-3
8,0-2-0
9,0-2-1
10,0-2-2
11,0-2-3
12,0-3-0
13,0-3-1
14,0-3-2
15,0-3-3
16,0-4-0
17,0-4-1
18,0-4-2
19,0-4-3
20,0-5-0
21,0-5-1
22,0-5-2
23,0-5-3
24,0-6-0
25,0-6-1
26,0-6-2
27,0-6-3
28,0-7-0
29,0-7-1
30,0-7-2
31,0-7-3
32,0-8-0
33,0-8-1
34,0-8-2
35,0-8-3
36,0-9-0
37,0-9-1
38,0-9-2
39,0-9-3
40,1-0-0
41,1-0-1
42,1-0-2
43,1-0-3
44,1-1-0
45,1-1-1
46,1-1-2
47,1-1-3
48,1-2-0
49,1-2-1
50,1-2-2
51,1-2-3
52,1-3-0
53,1-3-1
54,1-3-2
55,1-3-3
56,1-4-0
57,1-4-1
58,1-4-2
59,1-4-3
60,1-5-0
61,1-5-1
62,1-5-2
63,1-5-3
64,1-6-0
65,1-6-1
66,1-6-2
67,1-6-3
68,1-7-0
69,1-7-1
70,1-7-2
71,1-7-3
72,1-8-0
73,1-8-1
74,1-8-2
75,1-8-3
76,1-9-0
77,1-9-1
78,1-9-2
79,1-9-3
80,2-0-0
81,2-0-1
82,2-0-2
83,2-0-3
84,2-1-0
85,2-1-1
86,2-1-2
87,2-1-3
88,2-2-0
89,2-2-1
90,2-2-2
91,2-2-3
92,2-3-0
93,2-3-1
94,2-3-2
95,2-3-3
96,2-4-0
97,2-4-1
98,2-4-2
99,2-4-3
100,2-5-0
101,2-5-1
102,2-5-2
103,2-5-3
104,2-6-0
105,2-6-1
106,2-6-2
107,2-6-3
108,2-7-0
109,2-7-1
110,2-7-2
111,2-7-3
112,2-8-0
113,2-8-1
114,2-8-2
115,2-8-3
116,2-9-0
117,2-9-1
118,2-9-2
119,2-9-3
120,3-0-0
121,3-0-1
122,3-0-2
123,3-0-3
124,3-1-0
125,3-1-1
126,3-1-2
127,3-1-3
128,3-2-0
129,3-2-1
130,3-2-2
131,3-2-3
132,3-3-0
133,3-3-1
134,3-3-2
135,3-3-3
136,3-4-0
137,3-4-1
138,3-4-2
139,3-4-3
140,3-5-0
141,3-5-1
142,3-5-2
143,3-5-3
144,3-6-0
145,3-6-1
146,3-6-2
147,3-6-3
148,3-7-0
149,3-7-1
150,3-7-2
151,3-7-3
152,3-8-0
153,3-8-1
154,3-8-2
155,3-8-3
156,3-9-0
157,3-9-1
158,3-9-2
159,3-9-3
160,4-0-0
161,4-0-1
162,4-0-2
163,4-0-3
164,4-1-0
165,4-1-1
166,4-1-2
167,4-1-3
168,4-2-0
169,4-2-1
170,4-2-2
171,4-2-3
172,4-3-0
173,4-3-1
174,4-3-2
175,4-3-3
176,4-4-0
177,4-4-1
178,4-4-2
179,4-4-3
180,4-5-0
181,4-5-1
182,4-5-2
183,4-5-3
184,4-6-0
185,4-6-1
186,4-6-2
187,4-6-3
188,4-7-0
189,4-7-1
190,4-7-2
191,4-7-3
192,4-8-0
193,4-8-1
194,4-8-2
195,4-8-3
196,4-9-0
197,4-9-1
198,4-9-2
199,4-9-3
200,5-0-0
